aX,aY,aZ,gX,gY,gZ
0.044,-0.753,-0.467,-308.533,-97.778,72.815
0.105,-0.709,-0.516,-284.302,-103.149,69.946
0.138,-0.717,-0.531,-264.526,-100.220,65.857
0.172,-0.707,-0.609,-255.798,-86.670,62.927
0.131,-0.696,-0.761,-251.526,-71.350,61.218
0.062,-0.663,-0.927,-240.601,-60.669,62.500
-0.001,-0.641,-1.061,-219.055,-54.138,63.782
-0.049,-0.587,-1.113,-190.308,-55.359,67.261
-0.076,-0.538,-1.119,-162.598,-60.669,73.364
-0.079,-0.495,-1.138,-140.747,-64.880,81.360
-0.077,-0.527,-1.221,-124.084,-67.444,90.576
-0.103,-0.570,-1.305,-110.779,-67.505,98.389
-0.165,-0.644,-1.460,-97.839,-61.523,98.816
-0.263,-0.654,-1.558,-80.383,-51.941,89.844
-0.291,-0.685,-1.610,-58.899,-38.391,70.435
-0.332,-0.608,-1.599,-37.903,-21.667,46.753
-0.332,-0.501,-1.499,-15.625,-9.033,25.879
-0.312,-0.326,-1.326,4.944,-2.319,13.794
-0.304,-0.150,-1.142,19.836,-0.732,11.292
-0.346,0.013,-1.029,26.428,0.977,16.357
-0.392,0.158,-0.990,28.503,1.160,24.170
-0.432,0.270,-0.932,32.043,-0.427,29.175
-0.531,0.366,-0.821,36.072,-0.610,30.396
-0.608,0.444,-0.727,36.255,1.099,26.611
-0.654,0.462,-0.675,33.203,3.418,17.883
-0.683,0.466,-0.644,26.550,7.019,8.057
-0.672,0.441,-0.655,17.517,11.047,0.000
-0.654,0.417,-0.702,8.301,12.756,-4.028
-0.619,0.422,-0.754,1.709,10.132,-3.418
-0.590,0.436,-0.781,0.000,3.784,0.122
-0.567,0.404,-0.805,1.099,-3.357,3.296
-0.550,0.380,-0.822,1.831,-8.118,4.822
-0.535,0.376,-0.833,2.014,-10.864,4.395
-0.502,0.372,-0.832,1.526,-12.207,2.502
-0.489,0.333,-0.868,0.549,-9.827,-0.366
-0.461,0.294,-0.902,0.061,-6.836,-2.380
-0.430,0.281,-0.900,0.732,-6.775,0.610
-0.414,0.264,-0.886,1.892,-5.188,1.099
-0.432,0.278,-0.876,1.709,-1.404,-0.549
-0.429,0.304,-0.844,2.686,0.427,0.244
-0.427,0.336,-0.815,3.601,-1.465,4.089
-0.446,0.360,-0.803,3.418,-2.502,9.399
-0.467,0.358,-0.802,2.991,-3.357,13.062
-0.484,0.330,-0.826,2.258,-2.991,13.855
-0.493,0.286,-0.854,1.892,-0.916,11.780
-0.494,0.240,-0.889,2.502,0.916,8.850
-0.509,0.210,-0.907,4.761,2.625,6.348
-0.522,0.194,-0.897,8.728,3.235,3.784
-0.506,0.205,-0.874,13.306,3.784,0.122
-0.471,0.237,-0.843,16.113,4.883,-2.991
-0.436,0.279,-0.810,16.785,5.615,-4.150
-0.400,0.306,-0.781,15.076,5.615,-3.540
-0.380,0.327,-0.798,12.085,6.531,-0.854
-0.383,0.318,-0.837,10.254,6.287,3.662
-0.396,0.292,-0.882,12.390,4.517,7.874
-0.410,0.269,-0.900,16.968,2.441,10.864
-0.430,0.232,-0.913,21.362,1.648,11.536
-0.451,0.220,-0.923,24.170,2.869,10.620
-0.467,0.221,-0.911,26.550,4.456,8.667
-0.466,0.224,-0.877,28.381,7.263,4.883
-0.481,0.215,-0.862,26.367,12.268,0.122
-0.493,0.226,-0.882,23.010,18.860,-4.211
-0.491,0.245,-0.887,22.949,21.851,-6.775
-0.482,0.260,-0.878,27.222,20.813,-7.812
-0.468,0.287,-0.872,33.264,16.479,-6.531
-0.470,0.342,-0.827,39.246,11.475,-2.747
-0.477,0.401,-0.772,44.434,7.202,0.671
-0.485,0.446,-0.712,46.814,3.479,2.625
-0.499,0.485,-0.664,45.288,1.953,4.211
-0.500,0.503,-0.653,41.138,2.502,4.272
-0.498,0.486,-0.667,36.194,4.456,2.869
-0.487,0.472,-0.706,31.067,6.775,1.892
-0.483,0.441,-0.755,28.076,8.972,0.977
-0.499,0.426,-0.781,28.381,9.460,0.488
-0.495,0.423,-0.782,31.555,8.362,-0.366
-0.477,0.418,-0.765,36.072,7.446,-1.465
-0.473,0.415,-0.752,38.513,6.897,-1.709
-0.470,0.428,-0.729,39.673,6.165,-1.587
-0.456,0.435,-0.701,39.551,5.554,-1.587
-0.445,0.443,-0.674,37.109,6.104,-0.549
-0.442,0.448,-0.684,32.471,8.362,0.977
-0.435,0.453,-0.713,28.503,12.146,2.686
-0.432,0.440,-0.737,27.405,15.015,4.028
-0.421,0.428,-0.765,28.259,16.296,4.883
-0.423,0.418,-0.787,31.128,15.991,5.798
-0.434,0.408,-0.786,36.011,14.587,8.179
-0.447,0.405,-0.773,41.809,13.855,9.338
-0.463,0.394,-0.753,46.143,14.038,10.132
-0.433,0.935,1.349,5.066,31.860,-19.043
-0.486,0.995,1.445,-4.150,34.973,-22.339
-0.514,1.071,1.531,-14.282,35.828,-25.391
-0.525,1.156,1.639,-24.170,32.898,-29.419
-0.531,1.218,1.771,-35.217,30.762,-33.203
-0.522,1.266,1.890,-51.880,31.494,-36.743
-0.530,1.298,1.996,-73.364,32.532,-39.673
-0.517,1.351,2.118,-94.788,30.884,-41.443
-0.450,1.388,2.281,-114.319,26.428,-43.030
-0.361,1.396,2.418,-136.047,21.973,-42.480
-0.233,1.337,2.440,-165.039,18.433,-37.842
-0.134,1.202,2.287,-200.195,18.311,-26.794
-0.112,1.067,2.043,-230.530,15.198,-8.362
-0.137,0.977,1.880,-243.591,1.160,11.963
-0.165,0.881,1.881,-243.042,-17.700,25.940
-0.147,0.777,1.869,-245.789,-28.748,31.799
-0.146,0.653,1.764,-261.047,-30.701,32.288
-0.121,0.579,1.595,-279.114,-31.799,32.288
-0.070,0.504,1.408,-290.466,-35.828,33.203
-0.028,0.413,1.215,-293.091,-44.495,37.231
-0.026,0.401,1.156,-289.368,-56.396,46.326
0.001,0.365,1.238,-280.151,-67.139,52.795
0.019,0.262,1.242,-278.015,-72.571,54.382
0.018,0.219,1.117,-285.583,-77.637,59.143
0.007,0.172,1.020,-292.175,-83.008,63.782
-0.012,0.124,0.949,-294.800,-86.182,61.707
0.035,0.120,0.866,-297.607,-84.717,55.481
0.068,0.146,0.834,-301.147,-80.383,50.659
0.182,0.099,0.828,-302.551,-75.439,50.598
0.246,0.007,0.698,-308.533,-75.012,60.059
0.279,-0.119,0.470,-315.308,-87.769,79.407
0.178,-0.240,0.220,-315.552,-102.234,100.952
0.052,-0.271,0.100,-304.565,-114.685,115.295
0.005,-0.308,0.081,-286.743,-113.953,111.511
-0.019,-0.386,0.041,-274.597,-103.882,99.365
-0.054,-0.412,-0.083,-273.987,-92.651,87.158
-0.073,-0.410,-0.229,-276.428,-82.764,75.989
-0.116,-0.497,-0.402,-272.278,-72.144,64.880
-0.155,-0.493,-0.551,-262.207,-66.040,58.594
-0.172,-0.455,-0.611,-244.202,-64.392,57.129
-0.137,-0.456,-0.630,-222.046,-63.721,58.716
-0.099,-0.456,-0.654,-206.787,-64.575,65.735
-0.080,-0.425,-0.687,-200.317,-64.331,76.721
-0.068,-0.392,-0.819,-198.975,-60.608,85.999
-0.156,-0.396,-0.943,-194.153,-55.054,94.299
-0.218,-0.493,-1.102,-179.504,-49.683,97.900
-0.293,-0.489,-1.253,-160.156,-48.523,95.215
-0.296,-0.420,-1.351,-133.667,-49.438,89.661
-0.261,-0.346,-1.302,-100.708,-48.889,81.360
-0.253,-0.401,-1.226,-74.768,-43.030,69.275
-0.250,-0.380,-1.237,-65.918,-30.701,59.326
-0.244,-0.398,-1.333,-63.171,-19.348,52.612
-0.250,-0.425,-1.449,-54.138,-13.000,49.316
-0.300,-0.379,-1.496,-37.048,-12.573,50.903
-0.362,-0.341,-1.473,-12.329,-14.099,51.697
-0.438,-0.240,-1.355,11.230,-14.771,51.025
-0.490,-0.120,-1.201,27.405,-13.245,46.387
-0.552,0.009,-1.055,33.813,-7.385,36.560
-0.608,0.113,-0.957,31.799,0.793,24.719
-0.654,0.200,-0.912,25.757,11.047,11.169
-0.637,0.272,-0.910,21.423,19.348,-0.977
-0.641,0.297,-0.913,22.217,22.034,-8.728
-0.605,0.369,-0.849,27.893,18.188,-10.620
-0.558,0.451,-0.751,33.752,10.742,-7.690
-0.542,0.510,-0.663,34.729,3.357,-3.479
-0.535,0.555,-0.658,28.931,0.000,1.282
-0.549,0.586,-0.689,20.508,-1.343,5.554
-0.575,0.591,-0.690,15.015,-3.784,6.531
-0.565,0.578,-0.691,10.925,-4.822,4.395
-0.538,0.551,-0.709,5.554,-1.892,0.488
-0.512,0.507,-0.734,0.305,2.319,-1.038
-0.501,0.461,-0.780,-2.686,2.747,0.549
-0.505,0.418,-0.812,-2.258,0.305,4.333
-0.499,0.379,-0.827,-0.183,-3.357,6.470
-0.500,0.347,-0.833,1.465,-4.944,5.798
-0.503,0.344,-0.832,3.113,-5.554,4.456
-0.497,0.335,-0.816,4.822,-5.249,2.441
-0.512,0.354,-0.783,4.944,-2.930,0.671
-0.511,0.427,-0.744,2.686,-0.122,1.282
-0.498,0.455,-0.728,-0.183,1.282,1.709
-0.482,0.466,-0.738,-2.563,1.404,3.784
-0.477,0.455,-0.761,-4.150,-0.732,6.653
-0.474,0.413,-0.779,-3.662,-2.869,8.667
-0.481,0.365,-0.810,-2.075,-3.845,9.888
-0.474,0.325,-0.843,0.366,-3.662,9.766
-0.452,0.298,-0.838,4.028,-3.113,8.728
-0.445,0.278,-0.828,6.714,-1.770,7.385
-0.440,0.295,-0.823,6.958,0.977,6.592
-0.435,0.294,-0.825,7.874,2.808,5.554
-0.440,0.314,-0.824,9.277,3.723,4.333
-0.439,0.349,-0.801,11.475,4.517,3.296
-0.427,0.388,-0.772,14.221,4.883,2.502
-0.401,0.413,-0.746,15.869,4.395,3.845
-0.388,0.417,-0.739,15.503,3.235,7.690
-0.395,0.392,-0.763,14.587,2.014,13.306
-0.443,0.378,-0.798,15.076,1.221,18.494
-0.491,0.365,-0.801,16.968,0.305,20.264
-0.537,0.369,-0.793,18.982,1.099,17.151
-0.577,0.391,-0.771,20.325,3.174,11.536
-0.584,0.395,-0.743,22.034,4.700,4.883
-0.548,0.404,-0.729,22.827,5.554,0.183
-0.481,0.392,-0.741,23.254,5.554,-0.427
-0.422,0.365,-0.776,24.475,1.709,4.761
-0.412,0.330,-0.829,26.184,-3.906,13.245
-0.443,0.306,-0.855,28.870,-7.080,18.616
-0.488,0.301,-0.854,32.043,-4.944,15.869
-0.526,0.340,-0.824,34.302,0.916,6.287
-0.544,0.373,-0.762,35.950,8.545,-6.165
-0.517,0.403,-0.720,35.156,16.663,-19.775
-0.441,0.451,-0.690,32.410,22.522,-29.175
-0.354,0.460,-0.688,30.090,24.536,-30.151
-0.293,0.458,-0.715,27.222,23.743,-22.888
-0.274,0.456,-0.759,25.513,21.179,-11.963
-0.286,0.440,-0.779,28.015,18.677,-1.038
-0.323,0.413,-0.787,32.959,15.564,9.583
-0.396,0.413,-0.801,37.903,11.169,17.822
-0.482,0.424,-0.788,43.884,8.057,20.569
-0.541,0.429,-0.746,49.744,9.277,17.151
-0.563,0.430,-0.690,51.147,14.282,8.911
-0.614,0.699,1.333,1.465,40.771,-33.936
-0.624,0.756,1.353,-13.123,42.480,-32.593
-0.661,0.783,1.396,-26.367,44.922,-31.189
-0.711,0.807,1.483,-36.011,44.617,-31.128
-0.761,0.856,1.616,-44.373,40.466,-33.752
-0.719,0.952,1.801,-51.086,32.104,-37.903
-0.650,1.004,1.950,-65.735,24.048,-38.208
-0.636,1.052,2.032,-90.576,17.151,-30.457
-0.595,1.073,2.049,-114.014,6.958,-20.142
-0.565,1.050,2.007,-134.949,-5.493,-10.132
-0.573,1.012,1.926,-158.508,-14.465,-3.418
-0.582,0.999,1.864,-179.016,-17.761,-2.563
-0.611,0.982,1.894,-191.345,-20.203,-8.667
-0.584,0.993,1.984,-198.303,-23.254,-18.311
-0.525,0.952,2.021,-211.487,-23.865,-26.306
-0.459,0.898,1.937,-233.459,-24.841,-27.954
-0.399,0.847,1.812,-256.042,-26.367,-23.376
-0.338,0.779,1.733,-269.836,-30.579,-15.442
-0.299,0.678,1.697,-278.076,-35.645,-8.606
-0.260,0.622,1.609,-288.025,-38.574,-4.272
-0.201,0.555,1.443,-298.279,-45.227,-1.160
-0.134,0.453,1.221,-306.213,-55.176,3.479
-0.144,0.327,1.019,-312.378,-62.500,10.864
-0.141,0.268,0.890,-311.768,-66.528,14.282
-0.097,0.153,0.778,-303.772,-70.557,13.489
-0.056,0.072,0.633,-300.598,-74.768,15.442
-0.047,-0.003,0.505,-301.331,-77.271,21.606
-0.095,-0.053,0.424,-300.476,-74.890,28.564
-0.158,-0.085,0.438,-296.387,-68.115,30.212
-0.172,-0.081,0.441,-292.175,-58.411,25.574
-0.164,-0.027,0.420,-291.260,-52.246,21.118
-0.098,-0.064,0.306,-289.001,-50.659,22.217
-0.079,-0.126,0.097,-289.062,-57.678,33.264
-0.072,-0.168,-0.122,-285.217,-71.899,49.988
-0.102,-0.211,-0.207,-272.522,-84.229,64.758
-0.150,-0.250,-0.167,-257.690,-83.862,75.012
-0.199,-0.281,-0.109,-250.122,-77.881,78.308
-0.223,-0.238,-0.133,-249.512,-73.059,73.242
-0.186,-0.196,-0.156,-248.901,-71.899,64.514
-0.182,-0.199,-0.297,-252.197,-66.223,54.443
-0.225,-0.187,-0.521,-253.662,-57.007,45.898
-0.252,-0.178,-0.663,-240.784,-52.612,41.748
-0.266,-0.192,-0.670,-215.942,-54.688,40.894
-0.222,-0.241,-0.671,-193.665,-58.289,44.373
-0.230,-0.289,-0.746,-181.946,-59.692,50.903
-0.238,-0.338,-0.853,-174.255,-56.702,56.152
-0.288,-0.339,-0.892,-165.222,-49.805,56.519
-0.337,-0.443,-0.971,-156.982,-40.100,51.758
-0.377,-0.427,-1.123,-151.794,-31.433,47.668
-0.359,-0.484,-1.285,-136.780,-27.893,45.349
-0.373,-0.516,-1.425,-112.671,-30.579,46.875
-0.349,-0.533,-1.501,-83.740,-37.598,50.720
-0.322,-0.533,-1.540,-54.016,-39.307,50.964
-0.289,-0.497,-1.518,-28.442,-32.349,48.767
-0.285,-0.447,-1.449,-9.033,-22.644,44.678
-0.344,-0.336,-1.340,1.404,-11.719,37.354
-0.412,-0.207,-1.275,8.545,-0.916,27.161
-0.445,-0.002,-1.172,17.578,7.324,16.174
-0.462,0.164,-1.023,29.480,8.850,8.484
-0.498,0.328,-0.891,36.743,8.545,6.226
-0.530,0.434,-0.795,40.833,8.301,6.714
-0.564,0.511,-0.717,42.664,6.042,8.423
-0.569,0.555,-0.663,41.870,3.052,9.583
-0.588,0.580,-0.627,37.659,0.732,9.888
-0.595,0.585,-0.605,30.457,0.549,9.277
-0.594,0.586,-0.596,20.813,1.831,7.019
-0.625,0.600,-0.605,9.521,4.395,4.700
-0.646,0.580,-0.631,1.221,6.287,2.380
-0.657,0.552,-0.669,-3.296,5.615,0.305
-0.658,0.493,-0.717,-3.845,1.465,-2.075
-0.624,0.456,-0.757,-1.282,-7.935,-2.197
-0.580,0.414,-0.763,1.953,-14.771,-0.244
-0.540,0.356,-0.779,2.869,-15.137,-1.099
-0.492,0.333,-0.800,-0.427,-11.353,-2.991
-0.428,0.316,-0.839,-4.211,-6.348,-5.615
-0.388,0.322,-0.860,-6.287,-1.648,-6.470
-0.382,0.336,-0.847,-5.859,1.709,-6.104
-0.390,0.346,-0.841,-3.662,2.808,-5.310
-0.394,0.369,-0.841,-0.244,0.427,-2.625
-0.406,0.376,-0.833,5.249,-3.052,1.770
-0.421,0.383,-0.813,11.475,-6.165,5.554
-0.417,0.377,-0.797,15.991,-7.751,7.263
-0.429,0.364,-0.794,17.334,-7.202,7.080
-0.420,0.360,-0.793,16.113,-4.395,4.822
-0.417,0.355,-0.803,14.648,0.000,1.160
-0.430,0.351,-0.802,13.062,4.761,-0.854
-0.444,0.360,-0.794,13.306,8.362,-1.648
-0.467,0.370,-0.782,14.343,10.376,-1.526
-0.493,0.391,-0.782,16.846,9.399,-0.305
-0.500,0.404,-0.770,22.095,4.944,1.587
-0.514,0.403,-0.751,26.733,0.916,3.418
-0.525,0.399,-0.742,28.259,-0.305,2.625
-0.515,0.365,-0.742,26.978,2.319,-1.953
-0.473,0.342,-0.776,22.522,9.094,-10.498
-0.409,0.339,-0.815,18.127,17.517,-19.531
-0.372,0.327,-0.840,16.968,24.658,-26.001
-0.360,0.335,-0.865,18.738,28.442,-27.893
-0.358,0.371,-0.857,25.940,27.710,-26.855
-0.369,0.394,-0.793,37.048,23.499,-23.682
-0.396,0.420,-0.730,45.288,18.738,-18.372
-0.422,0.444,-0.704,47.729,16.724,-13.672
-0.442,0.456,-0.699,46.814,17.151,-10.925
-0.439,0.444,-0.707,44.067,19.348,-11.047
-0.410,0.448,-0.732,39.368,24.231,-12.756
-0.410,0.449,-0.745,35.645,29.968,-13.306
-0.421,0.450,-0.746,36.255,31.555,-10.620
-0.423,0.457,-0.737,39.795,27.832,-6.226
-0.451,0.455,-0.715,44.006,22.278,-1.404
-0.479,0.485,-0.712,48.523,17.029,2.075
-0.502,0.534,-0.673,55.420,11.169,4.456
-0.506,0.542,-0.612,61.951,6.226,4.639
-0.514,0.568,-0.575,60.913,6.287,3.906
-0.516,0.570,-0.558,55.664,10.071,2.502
-0.501,0.568,-0.551,48.767,15.808,0.061
-0.484,0.552,-0.583,41.199,22.278,-1.526
-0.494,0.543,-0.622,36.560,25.940,-1.221
-0.500,0.543,-0.616,38.208,24.353,0.244
-0.496,0.565,-0.589,42.419,20.203,2.075
-0.514,0.567,-0.567,45.349,16.296,3.906
-0.261,0.880,1.505,-12.756,12.634,6.287
-0.237,0.931,1.562,-24.353,9.155,9.216
-0.214,0.985,1.694,-34.241,4.028,12.390
-0.208,1.045,1.848,-46.448,-0.977,13.245
-0.177,1.097,1.974,-64.575,-0.549,13.489
-0.148,1.116,2.118,-86.670,3.723,11.658
-0.103,1.162,2.235,-110.840,4.456,8.850
0.022,1.191,2.270,-136.169,1.099,10.925
0.110,1.213,2.250,-162.842,-8.484,19.958
0.148,1.192,2.219,-187.805,-18.372,36.316
0.136,1.115,2.203,-208.313,-27.649,53.467
0.117,1.035,2.162,-226.135,-37.476,62.866
0.091,0.976,2.096,-245.178,-45.349,63.293
0.086,0.932,2.066,-262.329,-47.546,60.669
0.083,0.861,2.080,-274.353,-44.617,60.120
0.062,0.731,2.080,-284.912,-44.556,60.425
0.099,0.657,2.036,-298.340,-48.401,60.730
0.166,0.605,1.998,-309.998,-56.519,61.035
0.239,0.598,2.007,-317.200,-67.505,69.214
0.270,0.546,1.995,-330.811,-80.017,83.984
0.303,0.352,1.736,-356.873,-86.975,100.037
0.302,0.090,1.212,-385.681,-95.764,117.371
0.214,-0.148,0.688,-397.522,-114.014,137.512
0.104,-0.346,0.351,-382.812,-132.507,149.353
-0.016,-0.511,0.233,-353.149,-139.954,145.935
-0.092,-0.578,0.255,-329.163,-132.874,126.282
-0.117,-0.624,0.283,-317.017,-114.014,98.450
-0.144,-0.675,0.245,-316.284,-91.980,72.083
-0.147,-0.692,0.087,-322.266,-72.144,51.575
-0.181,-0.647,-0.061,-321.350,-60.303,41.199
-0.203,-0.640,-0.153,-308.838,-57.922,37.659
-0.268,-0.576,-0.221,-293.579,-59.814,42.603
-0.233,-0.545,-0.247,-276.062,-70.374,51.270
-0.193,-0.520,-0.338,-266.724,-81.726,64.880
-0.186,-0.528,-0.529,-262.146,-90.759,80.627
-0.163,-0.546,-0.722,-248.901,-99.670,92.773
-0.200,-0.586,-0.798,-229.126,-101.563,97.107
-0.232,-0.542,-0.796,-211.426,-92.041,89.417
-0.236,-0.564,-0.836,-200.073,-76.233,72.998
-0.207,-0.517,-0.957,-194.580,-58.716,58.105
-0.207,-0.436,-1.066,-184.082,-47.607,49.622
-0.190,-0.391,-1.139,-164.734,-41.931,47.974
-0.155,-0.349,-1.175,-143.494,-40.161,50.476
-0.144,-0.311,-1.163,-123.474,-40.833,56.885
-0.177,-0.273,-1.155,-104.919,-42.847,63.904
-0.201,-0.303,-1.179,-89.172,-42.786,66.956
-0.252,-0.297,-1.260,-77.515,-40.710,65.796
-0.290,-0.297,-1.346,-63.843,-35.400,59.937
-0.325,-0.271,-1.374,-45.105,-28.687,49.805
-0.365,-0.212,-1.290,-25.146,-21.851,38.696
-0.387,-0.151,-1.203,-10.803,-11.597,25.269
-0.413,-0.037,-1.139,-4.150,-1.343,15.625
-0.414,0.027,-1.061,2.808,4.150,9.766
-0.444,0.146,-0.987,6.653,6.409,9.338
-0.472,0.278,-0.912,9.949,5.798,12.329
-0.483,0.335,-0.841,14.709,2.075,15.137
-0.503,0.379,-0.845,15.869,-2.014,18.005
-0.513,0.399,-0.863,16.846,-4.578,20.081
-0.541,0.377,-0.828,20.203,-6.104,19.104
-0.556,0.373,-0.817,20.264,-5.432,15.015
-0.560,0.371,-0.811,17.700,-0.610,8.911
-0.567,0.374,-0.812,14.587,4.089,2.380
-0.557,0.403,-0.811,12.451,6.287,-1.404
-0.550,0.426,-0.780,12.939,5.737,-2.930
-0.546,0.463,-0.732,13.550,3.906,-1.892
-0.551,0.494,-0.694,12.207,0.305,0.244
-0.564,0.519,-0.680,9.216,-2.563,3.235
-0.559,0.503,-0.693,5.920,-4.211,5.066
-0.535,0.488,-0.729,2.502,-5.432,5.798
-0.519,0.459,-0.750,0.793,-6.592,5.127
-0.499,0.416,-0.789,-0.488,-6.714,2.563
-0.467,0.384,-0.837,-1.465,-4.700,-0.549
-0.429,0.355,-0.859,0.122,-3.052,-2.075
-0.407,0.354,-0.847,3.296,-2.441,-1.770
-0.405,0.364,-0.816,6.287,-1.526,0.732
-0.430,0.380,-0.767,7.568,-1.465,4.028
-0.451,0.398,-0.746,5.981,-1.404,6.958
-0.482,0.411,-0.755,3.540,0.244,8.789
-0.496,0.413,-0.764,2.380,1.221,8.484
-0.493,0.399,-0.769,3.296,2.014,5.798
-0.480,0.381,-0.776,4.761,2.991,3.540
-0.474,0.361,-0.785,5.981,3.845,2.991
-0.481,0.344,-0.804,7.385,4.028,3.662
-0.504,0.326,-0.814,10.315,4.395,3.540
-0.537,0.347,-0.773,14.648,4.150,1.709
-0.539,0.363,-0.726,17.395,3.784,-2.625
-0.533,0.421,-0.690,15.259,5.981,-6.226
-0.501,0.453,-0.684,11.536,7.446,-7.629
-0.469,0.472,-0.702,7.935,7.080,-6.531
-0.443,0.466,-0.725,6.531,5.493,-2.075
-0.427,0.453,-0.752,6.958,2.625,3.540
-0.431,0.408,-0.783,8.545,-0.244,8.484
-0.431,0.374,-0.819,11.658,-2.380,11.902
-0.431,0.331,-0.843,15.747,-2.686,13.184
-0.451,0.304,-0.843,19.226,-1.465,12.451
-0.473,0.297,-0.834,21.179,1.038,9.277
-0.507,0.312,-0.817,22.095,5.310,3.174
-0.508,0.335,-0.772,22.522,8.728,-4.333
-0.489,0.371,-0.747,21.179,12.634,-10.010
-0.475,0.386,-0.741,18.677,15.320,-12.024
-0.445,0.407,-0.778,18.066,15.381,-10.803
-0.412,0.413,-0.801,20.996,10.925,-6.897
-0.387,0.387,-0.813,26.367,7.019,-2.380
-0.379,0.349,-0.859,31.799,3.967,3.235
-0.397,0.297,-0.912,38.513,-1.160,9.155
-0.441,0.268,-0.926,47.729,-8.423,14.221
-0.498,0.252,-0.896,56.702,-12.329,14.282
-0.558,0.281,-0.850,61.462,-8.362,6.348
-0.563,0.323,-0.813,63.110,2.258,-9.033
-0.508,0.358,-0.754,63.293,14.771,-26.367
-0.456,0.389,-0.727,59.265,26.489,-37.598
-0.399,0.433,-0.713,54.688,32.410,-39.246
-0.370,0.488,-0.699,52.429,31.067,-31.433
-0.386,0.537,-0.676,53.955,25.085,-18.250
-0.403,0.601,-0.637,58.044,15.076,-6.226
-0.410,0.649,-0.591,62.134,7.812,2.380
-0.449,0.662,-0.562,62.988,4.883,7.202
-0.488,0.664,-0.539,61.462,4.578,8.301
-0.500,0.674,-0.521,58.167,7.446,6.531
-0.440,0.848,1.440,-14.099,20.569,-23.926
-0.411,0.908,1.502,-27.710,20.996,-25.024
-0.402,0.947,1.571,-43.823,20.447,-24.841
-0.376,1.016,1.615,-60.120,18.738,-23.254
-0.357,1.085,1.670,-74.646,13.489,-20.752
-0.338,1.122,1.736,-88.257,8.789,-18.066
-0.334,1.153,1.810,-103.027,5.371,-14.465
-0.312,1.174,1.867,-118.408,1.343,-10.864
-0.320,1.183,1.914,-135.742,-2.563,-7.019
-0.314,1.180,1.932,-153.564,-6.531,-5.066
-0.293,1.183,1.941,-172.241,-10.437,-3.784
-0.300,1.151,1.958,-192.017,-13.794,-2.014
-0.311,1.138,2.012,-209.778,-18.066,-1.282
-0.255,1.160,2.099,-223.022,-24.597,-0.793
-0.165,1.117,2.085,-238.159,-31.616,2.380
-0.105,1.041,1.939,-257.751,-41.870,15.808
-0.052,1.013,1.765,-271.545,-60.242,36.987
-0.060,0.930,1.757,-273.987,-83.740,58.411
-0.103,0.907,1.961,-276.672,-97.900,72.632
-0.079,0.827,2.135,-286.865,-101.318,71.533
-0.023,0.614,1.979,-311.829,-101.074,64.331
0.027,0.401,1.570,-344.421,-107.117,70.190
0.062,0.180,1.080,-364.990,-123.291,82.581
0.072,-0.052,0.697,-366.394,-139.038,92.529
0.040,-0.248,0.470,-361.023,-141.785,95.581
-0.015,-0.381,0.382,-352.600,-133.545,90.820
-0.016,-0.535,0.377,-342.041,-121.155,79.468
-0.057,-0.626,0.305,-337.769,-107.727,68.726
-0.034,-0.618,0.173,-331.970,-104.614,61.401
-0.026,-0.649,0.040,-320.435,-106.995,59.143
-0.050,-0.643,-0.046,-308.777,-107.727,62.195
-0.095,-0.663,-0.152,-300.049,-105.652,62.622
-0.156,-0.598,-0.240,-293.945,-96.741,60.120
-0.142,-0.571,-0.293,-283.142,-85.083,56.335
-0.100,-0.569,-0.364,-272.278,-77.454,56.458
-0.042,-0.545,-0.513,-264.587,-76.782,63.354
-0.030,-0.512,-0.671,-252.747,-80.444,74.219
-0.023,-0.451,-0.703,-230.103,-86.731,86.060
-0.036,-0.465,-0.753,-206.421,-91.370,93.689
-0.049,-0.375,-0.873,-192.017,-93.445,98.022
-0.030,-0.326,-0.946,-174.927,-91.736,99.121
-0.010,-0.341,-0.973,-158.386,-86.853,96.436
0.025,-0.390,-1.066,-151.306,-75.012,89.783
0.032,-0.469,-1.206,-148.804,-57.678,82.886
0.003,-0.584,-1.365,-140.015,-40.344,77.454
-0.075,-0.671,-1.476,-123.596,-28.564,73.547
-0.123,-0.715,-1.582,-101.929,-19.592,69.641
-0.161,-0.685,-1.631,-76.782,-13.000,67.505
-0.226,-0.643,-1.618,-47.241,-10.254,66.040
-0.293,-0.578,-1.538,-19.226,-8.362,64.514
-0.381,-0.476,-1.435,2.930,-5.249,59.204
-0.460,-0.339,-1.278,19.104,-0.427,50.842
-0.565,-0.156,-1.105,28.809,6.897,38.757
-0.640,-0.005,-0.981,34.119,14.832,24.536
-0.670,0.142,-0.876,36.621,19.836,10.193
-0.675,0.283,-0.785,37.598,21.851,-0.427
-0.657,0.384,-0.720,38.025,20.630,-5.493
-0.637,0.464,-0.643,37.476,17.334,-5.859
-0.626,0.521,-0.601,33.936,12.634,-1.648
-0.616,0.524,-0.616,28.748,7.935,3.845
-0.654,0.522,-0.630,23.010,2.869,8.789
-0.674,0.523,-0.641,17.029,-1.953,9.155
-0.686,0.511,-0.625,10.681,-3.357,3.357
-0.654,0.475,-0.641,2.625,-1.160,-5.615
-0.626,0.436,-0.696,-5.615,3.174,-13.733
-0.585,0.394,-0.754,-9.888,5.005,-17.639
-0.534,0.333,-0.816,-8.911,2.197,-18.188
