aX,aY,aZ,gX,gY,gZ
-0.543,0.478,-0.656,31.738,-4.578,9.216
-0.563,0.513,-0.647,26.306,-3.601,7.202
-0.555,0.521,-0.664,19.653,0.549,2.258
-0.456,1.090,1.600,66.895,30.029,-27.100
-0.471,1.271,1.917,46.936,43.884,-33.447
-0.537,1.413,2.148,14.893,54.016,-31.128
-0.592,1.602,2.389,-18.860,54.016,-23.315
-0.595,1.838,2.752,-47.607,43.518,-18.555
-0.574,1.996,3.197,-78.491,35.095,-18.188
-0.584,2.041,3.622,-125.000,34.607,-23.254
-0.469,2.173,3.998,-185.852,38.696,-33.508
-0.204,2.185,4.000,-253.113,43.518,-42.725
0.093,1.890,4.000,-322.632,44.861,-33.813
0.334,1.499,3.849,-386.047,28.625,7.935
0.424,1.057,3.241,-432.129,-7.385,76.660
0.339,0.660,2.566,-461.121,-54.382,146.118
0.153,0.232,1.887,-476.318,-97.473,189.819
-0.094,-0.111,1.341,-480.774,-116.272,196.045
-0.131,-0.294,1.010,-470.276,-114.502,176.636
-0.137,-0.497,0.744,-452.698,-102.112,141.785
-0.161,-0.721,0.469,-442.688,-85.938,109.741
-0.259,-0.765,0.177,-430.664,-70.557,87.524
-0.141,-0.631,0.152,-409.485,-58.289,70.679
-0.006,-0.659,0.188,-381.287,-50.476,58.777
0.051,-0.584,0.193,-367.859,-46.509,63.904
0.185,-0.521,0.089,-360.596,-45.227,77.698
0.154,-0.611,-0.041,-353.577,-46.997,89.783
0.008,-0.613,-0.082,-348.206,-51.758,98.206
-0.020,-0.566,-0.111,-341.309,-57.312,93.811
-0.023,-0.522,-0.172,-333.252,-56.091,82.642
-0.005,-0.545,-0.301,-320.862,-48.950,73.547
0.002,-0.562,-0.425,-303.833,-44.006,70.007
0.011,-0.557,-0.476,-283.813,-43.579,74.707
-0.049,-0.665,-0.446,-262.695,-45.837,81.421
-0.140,-0.710,-0.461,-252.991,-45.105,85.754
-0.260,-0.741,-0.609,-250.000,-40.527,88.989
-0.338,-0.619,-0.729,-239.014,-40.405,90.210
-0.339,-0.543,-0.786,-219.360,-44.617,87.708
-0.327,-0.569,-0.869,-195.557,-49.194,83.374
-0.392,-0.587,-0.855,-174.377,-51.392,82.764
-0.399,-0.636,-0.865,-160.095,-50.598,81.421
-0.428,-0.670,-0.961,-154.480,-46.875,77.026
-0.345,-0.735,-1.151,-148.254,-44.678,72.632
-0.233,-0.819,-1.338,-132.324,-44.006,71.838
-0.122,-0.888,-1.481,-108.337,-44.739,78.430
-0.076,-0.972,-1.573,-77.026,-45.410,91.919
-0.124,-0.977,-1.593,-44.617,-45.898,107.483
-0.281,-0.921,-1.576,-13.428,-45.898,113.831
-0.405,-0.790,-1.470,10.254,-40.527,106.384
-0.503,-0.626,-1.289,27.954,-28.687,86.487
-0.579,-0.472,-1.097,36.194,-13.123,57.800
-0.632,-0.300,-0.984,32.959,4.150,26.917
-0.664,-0.133,-0.934,25.696,19.531,4.639
-0.669,0.020,-0.884,23.132,25.635,-5.066
