aX,aY,aZ,gX,gY,gZ
0.345,-0.146,0.902,-17.761,-10.376,36.072
0.326,-0.172,0.925,-16.296,-10.742,37.354
-0.504,1.494,1.422,32.715,11.902,-27.405
-0.674,1.920,1.638,44.556,6.287,-20.752
-0.984,2.438,1.866,55.725,5.127,-3.601
-1.403,3.070,1.965,56.458,10.925,21.973
-1.894,3.808,1.803,51.392,26.306,42.419
-2.372,4.000,1.402,57.129,48.584,38.940
-2.744,4.000,0.859,93.994,67.932,-6.714
-2.888,4.000,0.389,168.579,81.421,-96.802
-2.794,4.000,-0.056,261.597,93.384,-215.210
-2.402,2.790,-0.695,343.262,108.398,-336.243
-1.641,0.909,-1.439,393.616,103.394,-428.833
-0.773,-0.882,-1.816,422.058,58.838,-464.172
-0.098,-1.951,-1.878,433.716,-9.827,-431.458
-0.396,-2.121,-1.714,414.856,-71.228,-362.854
-0.735,-2.261,-1.760,391.052,-85.754,-306.335
-0.823,-2.470,-2.146,400.452,-33.997,-263.672
-0.787,-2.750,-2.520,415.222,21.606,-254.883
-0.807,-3.384,-2.618,424.438,7.568,-302.795
-0.902,-4.000,-2.204,429.077,-46.143,-381.592
-1.032,-4.000,-1.300,427.002,-93.750,-446.106
-0.892,-4.000,-0.045,408.630,-86.914,-447.327
-0.266,-4.000,0.891,360.657,3.540,-369.202
0.804,-4.000,0.792,272.949,151.245,-238.770
1.708,-3.319,0.109,169.067,270.142,-83.008
2.307,-2.388,-0.527,94.421,306.091,49.805
2.356,-1.679,-0.765,37.720,245.300,102.539
1.797,-1.290,-0.610,-7.080,116.821,82.092
0.995,-1.083,-0.269,-34.973,-1.038,42.297
0.369,-1.110,0.050,-45.837,-63.843,19.287
-0.231,-1.133,0.342,-48.096,-83.557,16.235
-0.614,-1.227,0.588,-42.053,-75.439,20.691
-0.642,-1.182,0.740,-34.790,-44.922,22.705
-0.529,-0.945,0.685,-43.274,-16.052,25.208
-0.340,-0.711,0.480,-58.594,0.610,29.480
-0.105,-0.547,0.254,-64.148,8.972,28.625
0.037,-0.523,0.144,-57.434,2.930,19.104
0.084,-0.611,0.192,-43.945,-12.390,3.235
0.062,-0.785,0.332,-30.518,-26.489,-8.789
-0.012,-0.921,0.491,-21.851,-34.485,-12.939
-0.107,-0.955,0.629,-19.836,-33.630,-4.272
-0.124,-0.930,0.668,-22.461,-22.095,9.460
-0.079,-0.863,0.640,-27.893,-5.798,19.043
-0.011,-0.781,0.571,-33.936,4.211,21.301
0.068,-0.744,0.499,-38.696,4.333,17.090
0.139,-0.765,0.461,-36.987,-1.282,11.963
0.137,-0.802,0.490,-27.893,-8.606,10.864
0.065,-0.825,0.553,-17.395,-14.343,14.038
-0.006,-0.853,0.601,-8.240,-15.747,18.860
-0.064,-0.876,0.646,-1.953,-14.404,22.888
-0.112,-0.881,0.693,0.000,-12.756,24.841
-0.149,-0.868,0.713,-0.549,-8.911,25.452
-0.173,-0.831,0.707,-2.136,-0.183,26.978
-0.189,-0.745,0.662,-5.554,10.254,29.724
-0.126,-0.684,0.594,-8.667,18.066,28.870
